,price,with_pool,nb_bedrooms,nb_bathrooms,nb_garages,nb_garden,nb_parking
15548,420000.0,0,2.0,2.0,0.0,0.0,1.0
20187,1295000.0,0,2.0,1.0,0.0,0.0,1.0
15666,8950000.0,0,4.0,3.0,4.0,1.0,2.0
11682,955000.0,0,3.0,2.0,0.0,0.0,2.0
19844,1100000.0,0,2.0,2.0,1.0,0.0,1.0
14309,650000.0,1,2.0,1.0,4.0,1.0,1.0
185,1395000.0,0,3.0,1.0,4.0,1.0,0.0
8127,6945000.0,1,5.0,5.0,8.0,1.0,0.0
2677,780000.0,0,3.0,1.0,0.0,1.0,0.0
14738,1100000.0,0,2.0,1.0,1.0,1.0,1.0
7020,2649000.0,0,3.0,2.0,2.0,1.0,0.0
19524,1490000.0,1,3.0,2.0,0.0,0.0,1.0
20649,975000.0,0,1.0,2.0,0.0,1.0,1.0
9125,1625000.0,0,2.0,1.0,0.0,0.0,0.0
18139,1200000.0,0,3.0,2.0,6.0,0.0,0.0
13603,600000.0,0,3.0,1.0,1.0,1.0,0.0
3374,2790000.0,1,3.0,2.0,0.0,1.0,1.0
15677,1150000.0,0,2.0,1.0,0.0,0.0,1.0
3492,595000.0,0,2.0,1.0,0.0,0.0,1.0
20610,3650000.0,0,3.0,1.0,4.0,1.0,0.0
18371,195000.0,0,2.0,1.0,0.0,0.0,0.0
15736,1150000.0,0,3.0,2.0,4.0,1.0,0.0
17538,2795000.0,1,3.0,3.0,0.0,1.0,1.0
19645,764900.0,0,2.0,1.0,0.0,0.0,1.0
15508,1071950.0,0,3.0,2.0,0.0,0.0,0.0
7737,750000.0,0,3.0,2.0,0.0,0.0,1.0
3216,4495000.0,1,4.0,3.0,4.0,0.0,0.0
19346,2995000.0,0,9.0,1.0,0.0,1.0,5.0
1645,630000.0,0,2.0,1.0,0.0,0.0,1.0
13173,1250000.0,0,3.0,2.0,0.0,0.0,0.0
18140,1450000.0,0,3.0,2.0,4.0,1.0,0.0
10859,3950000.0,0,3.0,3.0,1.0,1.0,1.0
49,1330000.0,0,2.0,2.0,4.0,0.0,0.0
5658,530000.0,0,1.0,2.0,0.0,0.0,1.0
7650,790000.0,0,3.0,2.0,1.0,0.0,0.0
16511,825000.0,0,7.0,2.0,0.0,0.0,1.0
2681,1110000.0,0,3.0,1.0,4.0,0.0,2.0
728,1250000.0,1,3.0,1.0,6.0,1.0,1.0
6455,2999000.0,1,3.0,2.0,4.0,1.0,0.0
424,798000.0,0,3.0,2.0,0.0,0.0,3.0
16902,1650000.0,0,3.0,1.0,4.0,1.0,0.0
11721,3395000.0,0,3.0,3.0,4.0,0.0,1.0
13500,1470000.0,0,4.0,1.0,1.0,0.0,0.0
20040,2395000.0,0,4.0,2.0,0.0,0.0,4.0
6162,521400.0,0,3.0,1.0,1.0,0.0,2.0
1711,2050000.0,0,3.0,3.0,1.0,1.0,0.0
6441,3290000.0,0,3.0,2.0,4.0,0.0,0.0
13369,585000.0,0,2.0,1.0,0.0,1.0,1.0
16836,130000.0,0,2.0,1.0,0.0,1.0,2.0
1352,1415000.0,0,0.0,0.0,0.0,0.0,0.0
18619,3450000.0,1,3.0,2.0,0.0,0.0,1.0
13413,2380000.0,0,2.0,2.0,1.0,1.0,2.0
20164,650000.0,0,0.0,1.0,0.0,0.0,0.0
19817,1099000.0,0,3.0,2.0,6.0,0.0,1.0
19992,485000.0,0,3.0,2.0,0.0,0.0,1.0
19246,1165000.0,0,3.0,2.0,1.0,0.0,0.0
10734,819000.0,0,3.0,2.0,0.0,0.0,2.0
16793,0.0,0,3.0,2.0,0.0,1.0,1.0
10799,4995000.0,0,2.0,2.0,4.0,0.0,1.0
